Samples
HVLGTDRXX_1_SI-GA_F10_S3_L001
HVLGTDRXX_1_SI-GA_F10_S3_L001
HVLGTDRXX_1_SI-GA_G8_S8_L001
HVLGTDRXX_1_SI-GA_G8_S8_L001
HVLGTDRXX_2_SI-GA_F10_S10_L002
HVLGTDRXX_2_SI-GA_F10_S10_L001
HVLGTDRXX_2_SI-GA_G6_S15_L002
HVLGTDRXX_2_SI-GA_G6_S15_L003
